Unnamed: 0,text,yoga,therapy,workout,Processed_tweet
3485,I will be speaking about fostering resilience and mental wellbeing in the climate crisis to @ClimateArea tonight!… https://t.co/BFSPBdTAiu,0,0,0,I speaking fostering resilience mental wellbeing climate crisis @ClimateArea tonight!… https://t.co/BFSPBdTAiu
3486,"RT @nickystevo: Never let someone who doesn’t know your value, tell you how much you’re worth 

#positive #Mentalhealth #knowyourworth #joy…",0,0,0,"@nickystevo: Never let someone doesn’t know value, tell much you’re worth #positive #Mentalhealth #knowyourworth #joy…"
3487,"RT @nickystevo: Be the type of person that makes others feel good about themselves 

#positive #mentalhealth #bekind #kindnessmatters #joyT…",0,0,0,@nickystevo: Be type person make others feel good #positive #bekind #kindnessmatters #joyT…
3488,"RT @speedomick: I appreciate the concern people but a bit of extreme weather never bothered me 🤣🥶✌️

We've raised £800K over 7yrs... can we…",0,0,0,@speedomick: I appreciate concern people bit extreme weather never bothered 🤣🥶✌️ We've raised £800K 7yrs... we…
3489,"No visible symptoms, no runny nose, just a head full of darkness..  No fever no rash no fractures  or sprains, just… https://t.co/6n3l9Ghbz3",0,0,0,"No visible symptoms, runny nose, head full darkness.. No fever rash fracture sprains, just… https://t.co/6n3l9Ghbz3"
3490,@RepJeffries 4/#MentalHealth EXPERTS have been ignored/silenced on speaking out on the PSYCHOLOGICAL DANGEROUSENSS… https://t.co/6oKUt6GA5o,0,0,0,@RepJeffries 4/#MentalHealth EXPERTS ignored/silenced speaking PSYCHOLOGICAL DANGEROUSENSS… https://t.co/6oKUt6GA5o
3491,"RT @vibrantforall: A reminder to put your #mentalhealth first this holiday season. 💙 

🎨 Keeley Shaw Art https://t.co/x7QtTrppJn",0,0,0,@vibrantforall: A reminder put first holiday season. 💙 🎨 Keeley Shaw Art https://t.co/x7QtTrppJn
3492,"RT @LEAD_Coalition: Sometimes, the only predictable part of caring for a person with #dementia is the unpredictability.

#Alzheimers #menta…",0,0,0,"@LEAD_Coalition: Sometimes, predictable part caring person #dementia unpredictability. #Alzheimers #menta…"
3493,"Hello friends. 
How are you keeping up this holiday season❓ 
Looking forward to the interaction on Twitterverse.
Ha… https://t.co/mF5e8Fssr0",0,0,0,Hello friends. How keeping holiday season❓ Looking forward interaction Twitterverse. Ha… https://t.co/mF5e8Fssr0
3494,Grenoside Grange Hospital grounds looking beautiful this afternoon. Snowy and peaceful @SHSCFT #NHS #DementiaCare… https://t.co/K3SdO1nf5d,0,0,0,Grenoside Grange Hospital ground looking beautiful afternoon. Snowy peaceful @SHSCFT #NHS #DementiaCare… https://t.co/K3SdO1nf5d
3495,"RT @jackefisher: #jobalert - Consultant @WHO Framework for Meaningful Engagement of People Living with #NCDs, #mentalhealth conditions + #n…",0,0,0,"@jackefisher: #jobalert - Consultant @WHO Framework Meaningful Engagement People Living #NCDs, condition + #n…"
3496,"FEATURE: Who is @AIMLInnovations $AIML? 

Layman description is easy as 1-2-3

1) Combines: #wearables + #AI #ML

2… https://t.co/w63aOOAfgB",0,0,0,FEATURE: Who @AIMLInnovations $AIML? Layman description easy 1-2-3 1) Combines: #wearables + #AI #ML 2… https://t.co/w63aOOAfgB
3497,"RT @HanariPinku: Good morning 🇩🇪

https://t.co/bpo14aLv6W

#wattpad #booktwt #bts #webtoons #WritingCommunity #books #free #read #romance #…",0,0,0,@HanariPinku: Good morning 🇩🇪 https://t.co/bpo14aLv6W #wattpad #booktwt #bts #webtoons #WritingCommunity #books #free #read #romance #…
3498,"RT @onlinecounselor: Surround yourself with safe people who make you feel seen, loved and appreciated ❤️

#mentalhealth #selflove #selfcare…",0,0,0,"@onlinecounselor: Surround safe people make feel seen, loved appreciated ❤️ #selflove #selfcare…"
3499,#divineguidance #selfaware #success #higherself #manifestations #spiritualwisdom #mentalhealth #peace #happiness… https://t.co/JHodtTHkS4,0,0,0,#divineguidance #selfaware #success #higherself #manifestations #spiritualwisdom #peace #happiness… https://t.co/JHodtTHkS4
3500,"RT @Vijaykarnataka: Dr K sudhakar : ನರ ಹಾಗೂ ಮಾನಸಿಕ ರೋಗಿಗಳ ಸಂಖ್ಯೆ ಹೆಚ್ಚಳ ಕಳವಳಕಾರಿ : ಡಾ. ಕೆ. ಸುಧಾಕರ್‌
   #mentalhealth  https://t.co/9n60Tmgj…",0,0,0,@Vijaykarnataka: Dr K sudhakar : ನರ ಹಾಗೂ ಮಾನಸಿಕ ರೋಗಿಗಳ ಸಂಖ್ಯೆ ಹೆಚ್ಚಳ ಕಳವಳಕಾರಿ : ಡಾ. ಕೆ. ಸುಧಾಕರ್‌ https://t.co/9n60Tmgj…
3501,"https://t.co/uPXpLkMgpn 
.
#recharge 
#goodvibrations 
#HealthForAll 
#mentalhealth https://t.co/76Aon9Wjl5",0,0,0,https://t.co/uPXpLkMgpn . #recharge #goodvibrations #HealthForAll https://t.co/76Aon9Wjl5
3502,"RT @rdash_nhs: Feeling in a mental health crisis? Live in #NorthLincolnshire, #Rotherham or #Doncaster? Help is available 24/7. Call us! #n…",0,0,0,"@rdash_nhs: Feeling mental health crisis? Live #NorthLincolnshire, #Rotherham #Doncaster? Help available 24/7. Call us! #n…"
3503,"RT @Maahokgit: I grew up #Feeling #Alone, and honestly, even though I've done a lot of #Healing and I know I'm #NotAlone, those feelings st…",0,0,0,"@Maahokgit: I grew #Feeling #Alone, honestly, even though I've done lot #Healing I know I'm #NotAlone, feeling st…"
3504,"RT @ANI: ANI Podcast with Smita Prakash | EP-23 | 'Women expected to be superheroes', Kamna Chhibber explains the issue of Mental Health am…",0,0,0,"@ANI: ANI Podcast Smita Prakash | EP-23 | 'Women expected superheroes', Kamna Chhibber explains issue Mental Health am…"
3505,RT @ONTSpecialNeeds: Tips for healthy head space. #mentalhealth https://t.co/oe8BapMPjH,0,0,0,@ONTSpecialNeeds: Tips healthy head space. https://t.co/oe8BapMPjH
3506,".@sheelaraja, PHD, author of 'The Resilient Teen', joins us to discuss resilience on Evidence-Based Podcast this we… https://t.co/CRvyeAdvPm",0,0,0,".@sheelaraja, PHD, author 'The Resilient Teen', join u discus resilience Evidence-Based Podcast we… https://t.co/CRvyeAdvPm"
3507,"Set your YouTube reminder here: https://t.co/OezUXeZWTK 

Join me as I Premiere: The Age of Climate Anxiety with Dr… https://t.co/jt1L5pXvuj",0,0,0,Set YouTube reminder here: https://t.co/OezUXeZWTK Join I Premiere: The Age Climate Anxiety Dr… https://t.co/jt1L5pXvuj
3508,"With the rise in stress among youth during the COVID-19 pandemic and the impact of social media on body image, we’v… https://t.co/0tzrRTqws3",0,0,0,"With rise stress among youth COVID-19 pandemic impact social medium body image, we’v… https://t.co/0tzrRTqws3"
3509,The GoC is working with the @CAC_ACE to increase mental health literacy among coaches and community sports leaders.… https://t.co/KL63FlEOwc,0,0,0,The GoC working @CAC_ACE increase mental health literacy among coach community sport leaders.… https://t.co/KL63FlEOwc
3510,"It’s the season of giving! Support Mojo Rawley &amp; Mental Health America!
Visit https://t.co/qycDkTlJmr &amp; donate now!… https://t.co/7AyfkLBzjb",0,0,0,It’s season giving! Support Mojo Rawley &amp; Mental Health America! Visit https://t.co/qycDkTlJmr &amp; donate now!… https://t.co/7AyfkLBzjb
3511,"RT @UNICEFAfrica: ""In my country, people with mental health issues are thought to be affected by demonic forces. People pray for you &amp; hope…",0,0,0,"@UNICEFAfrica: ""In country, people mental health issue thought affected demonic forces. People pray &amp; hope…"
3512,"RT @ANI: ANI Podcast with Smita Prakash | EP-23 | 'Women expected to be superheroes', Kamna Chhibber explains the issue of Mental Health am…",0,0,0,"@ANI: ANI Podcast Smita Prakash | EP-23 | 'Women expected superheroes', Kamna Chhibber explains issue Mental Health am…"
3513,Check out Deb Fleming's video! #TikTok https://t.co/oBY14VHtt6 #notnormal #mentalhealth #storm,0,0,0,Check Deb Fleming's video! #TikTok https://t.co/oBY14VHtt6 #notnormal #storm
3514,"RT @LEAD_Coalition: Please re-Tweet to raise awareness of these 9 ways to reduce your risk of #dementia https://t.co/n2MM3yuK23

(image: @K…",0,0,0,@LEAD_Coalition: Please re-Tweet raise awareness 9 way reduce risk #dementia https://t.co/n2MM3yuK23 (image: @K…
3515,"#LongCOVID has huge impact on the lives of those affected, our society and economy. More than one-third of people m… https://t.co/L5dUcyiFGx",0,0,0,"#LongCOVID huge impact life affected, society economy. More one-third people m… https://t.co/L5dUcyiFGx"
3516,"It's crucial that the workplace feel safe and positive. Now more than ever, younger generations are making sure tha… https://t.co/qUF4ynQWtU",0,0,0,"It's crucial workplace feel safe positive. Now ever, younger generation making sure tha… https://t.co/qUF4ynQWtU"
3517,"Starting soon: @SecBecerra will discuss the future of #MentalHealth care in America w/ @AmandaSeitz, followed by a… https://t.co/4XODSU7bLH",0,0,0,"Starting soon: @SecBecerra discus future #MentalHealth care America w/ @AmandaSeitz, followed a… https://t.co/4XODSU7bLH"
3518,RT @RPR_Agile: Quoted briefly in this article about faculty supporting students' #mentalhealth - and recognizing that we have to take care…,0,0,0,@RPR_Agile: Quoted briefly article faculty supporting students' - recognizing take care…
3519,"Are you missing out on all these evidence-based, therapist-given, practical #foodallergy #mentalhealth tips and ins… https://t.co/vzTNV7eiNg",0,1,0,"Are missing evidence-based, therapist-given, practical #foodallergy tip ins… https://t.co/vzTNV7eiNg"
3520,RT @ONTSpecialNeeds: Our bodies physiological response to stress. Yes it is real. #mentalhealth https://t.co/VaQx4D0np6,0,0,0,@ONTSpecialNeeds: Our body physiological response stress. Yes real. https://t.co/VaQx4D0np6
3521,"RT @MayadeenEnglish: Even though the study was done before the #COVID19 outbreak, mental health experts believe that during the past two ye…",0,0,0,"@MayadeenEnglish: Even though study done #COVID19 outbreak, mental health expert believe past two ye…"
3522,"RT @KariJoys: What a #JOY to travel the way of the #heart. #Rumi

#JoyTrain &gt;https://t.co/X7w2jFQ0Fn #Love #Kindness #kjoys00 #MentalHealth…",0,0,0,@KariJoys: What #JOY travel way #heart. #Rumi #JoyTrain &gt;https://t.co/X7w2jFQ0Fn #Love #Kindness #kjoys00 #MentalHealth…
3523,"@RepJeffries Hi! 1000s of #MentalHealth Experts, including MANY of the BEST in US, have accurately warned for 7yrs… https://t.co/o03fnJ6Kb6",0,0,0,"@RepJeffries Hi! 1000 #MentalHealth Experts, including MANY BEST US, accurately warned 7yrs… https://t.co/o03fnJ6Kb6"
3524,"Amazing books to read! On NBC’s ‘Today,’ Jenna Bush Hager is becoming book publishing’s best friend #healthbooks… https://t.co/v5DbP0UXFp",0,0,0,"Amazing book read! On NBC’s ‘Today,’ Jenna Bush Hager becoming book publishing’s best friend #healthbooks… https://t.co/v5DbP0UXFp"
3525,Missing the barn &amp; riding. My Therapist ! #mentalhealth #Horses https://t.co/db3upZVPYt,0,0,0,Missing barn &amp; riding. My Therapist ! #Horses https://t.co/db3upZVPYt
3526,"RT @INPRFM: Mentalízate con nosotros...
https://t.co/ohLfjKYRZH
#mentaltips #mentalizarte #saludmental #hablemosdesaludmental #mentalhealth…",0,0,0,@INPRFM: Mentalízate con nosotros... https://t.co/ohLfjKYRZH #mentaltips #mentalizarte #saludmental #hablemosdesaludmental #mentalhealth…
3527,"🎂🥳 vs ⚰️⚱️

#Mentalhealth #MentalHealthMatters #tuesdayvibe #Tuesday https://t.co/NHh8dbcqNL",0,0,0,🎂🥳 v ⚰️⚱️ #Mentalhealth #MentalHealthMatters #tuesdayvibe #Tuesday https://t.co/NHh8dbcqNL
3528,"RT @KariJoys: What a #JOY to travel the way of the #heart. #Rumi

#JoyTrain &gt;https://t.co/X7w2jFQ0Fn #Love #Kindness #kjoys00 #MentalHealth…",0,0,0,@KariJoys: What #JOY travel way #heart. #Rumi #JoyTrain &gt;https://t.co/X7w2jFQ0Fn #Love #Kindness #kjoys00 #MentalHealth…
